Timestamp,Location (city name or district name),Gender,Age (in years),What is the highest level of education you have completed?,What would best describe a wellness/fitness routine you follow or are likely to follow?,Which of the followings would best describe the main challenge you face that restricts you from following a regular wellness/fitness routine? (you can choose more than one option),How often do you follow a wellness/fitness routine?,"Whenever you practice your wellness/fitness routine, how much time on average do you spend (in minutes)?",Which of the following would best describe your purpose to follow a wellness/fitness routine?,Your general place of wellness/fitness routine is,Do you look for simple and target specific-exercises ?,"In your opinion, how important is following a well-balanced nutrition diet routine along with a wellness/fitness routine?",Which of the followings would best describe the main challenge(s) you face that restrict you from following a well-balanced nutrition diet routine? (you can choose more than one option),How likely would you be to try a remote/online mode of training for your wellness/fitness routine?,What would best describe the challenge(s) to use an online wellness/fitness service as a mainstream method to achieve your wellness/fitness goals? (you can choose more than one option),How much would you be willing to pay for such an online wellness/fitness training service (INR/month)?,"If you were to subscribe such an online  wellness/fitness training service, what would describe the ideal subscription cycle for you?",Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Price of service],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Expertise credibility of the trainer(s)],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Language of training/practice instructions in your regional language as compared to English?],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Flexibility of choosing different time slots for training/practice on different days],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Availability of hybrid options for training/practice (ability to choose online and offline training session as per my convenience)]
11-11-2022 0:00:36,Kolhapur,Male,45-54,Masters / Post-Graduate degree,Yoga & breathing exercises,"Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, I follow a regular wellness/fitness routine",Once/twice a week (e.g. weekends),31-45,Body building,Hybrid - Gym and at Home,4,4,"Temptation for junk food, Can't cook at home, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I am interested to try out,"I don’t think online training is effective, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Not more than Rs. 500,Annual subscription with price discount benefits,Not so important,Important,Important,Very Important,Important
11-11-2022 0:01:12,Kolhapur,Male,25-34,Undergraduate degree,"Light physical activity (running, push-ups, sit-ups etc.)","Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, Lack of motivation / time",4 to 5 days a week,15-30,General fitness/strength/flexibility/stamina,Home - with equipment,4,5,"Temptation for junk food, Can't cook at home, I follow a balanced diet routine",I am interested to try out,"I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 2500-5000,Weekly subscription at a price slightly higher than monthly subscription,Not so important,Important,Very Important,Important,Important
11-11-2022 0:02:00,Mumbai,Male,35-44,Undergraduate degree,"Light physical activity (running, push-ups, sit-ups etc.)","Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, Lack of motivation / time",Once/twice a week (e.g. weekends),15-30,Body building,Home - without equipment,4,4,"Can't cook at home, My schedule doesn't permit regularity in my eating habits, I follow a balanced diet routine",I am interested to try out,"I don’t think online training is effective, I don't want to invest in buying any accessories at home, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Not more than Rs. 500,Monthly subscription at a price slightly higher than annual subscription,Not so important,Very Important,Important,Important,Very Important
11-11-2022 0:02:40,Kolhapur,Male,25-34,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Want a personal trainer but can't afford, Can't afford to spend on gym/classes subscription, Lack of motivation / time",Once/twice a week (e.g. weekends),46-60,Stress/anxiety reduction and/or attain mindfulness,Home - without equipment,3,3,"Temptation for junk food, My schedule doesn't permit regularity in my eating habits, I follow a balanced diet routine",I am interested to try out,"Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly",Rs. 1000-2500,Weekly subscription at a price slightly higher than monthly subscription,Important,Very Important,Important,Important,Not so important
11-11-2022 0:03:34,Kolhapur,Female,25-34,Undergraduate degree,I don't follow any wellness/fitness routine,"Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, I follow a regular wellness/fitness routine",Daily,46-60,Stress/anxiety reduction and/or attain mindfulness,Hybrid - Gym and at Home,4,5,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Can't cook at home, I follow a balanced diet routine",I may try only if I find something very interesting,"Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly",Not more than Rs. 500,Monthly subscription at a price slightly higher than annual subscription,Important,Important,Important,Not so important,Very Important
11-11-2022 15:11:59,KOP,Male,35-44,Undergraduate degree,Yoga & breathing exercises,"Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, Lack of motivation / time, I follow a regular wellness/fitness routine",4 to 5 days a week,46-60,General fitness/strength/flexibility/stamina,Gym / Studio,4,5,"Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine, I follow a balanced diet routine",I may try only if I find something very interesting,"I don't want to invest in buying any accessories at home, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 1000-2500,Monthly subscription at a price slightly higher than annual subscription,Important,Very Important,Very Important,Important,Important
11-11-2022 15:13:10,kohlapur,Female,45-54,College diploma / Certificate,Meditation/Mindfulness practice,"Want a personal trainer but can't afford, Lack of motivation / time, I follow a regular wellness/fitness routine",4 to 5 days a week,15-30,General fitness/strength/flexibility/stamina,Home - without equipment,4,5,"Temptation for junk food, Can't cook at home, Find it too difficult to follow a routine",I am not interested to try,"I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 1000-2500,Monthly subscription at a price slightly higher than annual subscription,Important,Very Important,Important,Neutral,Not so important
11-11-2022 15:16:01,kolhapur,Female,35-44,High school,Meditation/Mindfulness practice,Can't find a good trainer/expert practitioner,Once/twice a week (e.g. weekends),31-45,Weight loss/gain,Hybrid - Gym and at Home,3,4,"Lack of understanding what to eat when and in what proportion, My schedule doesn't permit regularity in my eating habits, I follow a balanced diet routine",I am interested to try out,I don't want to invest in buying any accessories at home,Rs. 500 - 1000,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Important,Neutral,Very Important,Important,Important
11-11-2022 15:16:53,kop,Female,45-54,Undergraduate degree,"Light physical activity (running, push-ups, sit-ups etc.)","Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, I follow a regular wellness/fitness routine",4 to 5 days a week,31-45,General fitness/strength/flexibility/stamina,Home - with equipment,4,3,"Lack of understanding what to eat when and in what proportion, My schedule doesn't permit regularity in my eating habits, I follow a balanced diet routine",I am interested to try out,"Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home",Rs. 2500-5000,Weekly subscription at a price slightly higher than monthly subscription,Important,Very Important,Important,Neutral,Important
11-11-2022 15:18:04,kohlapu,Female,35-44,Undergraduate degree,Meditation/Mindfulness practice,"Don't know where and how to start, Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Lack of motivation / time",4 to 5 days a week,15-30,General fitness/strength/flexibility/stamina,Gym / Studio,4,5,"Lack of understanding what to eat when and in what proportion, Can't cook at home, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I am interested to try out,,Rs. 1000-2500,Monthly subscription at a price slightly higher than annual subscription,Important,Neutral,Important,Important,Neutral
11-11-2022 15:27:37,Mumbai ,Female,18-24,Undergraduate degree,Yoga & breathing exercises,I follow a regular wellness/fitness routine,4 to 5 days a week,15-30,General fitness/strength/flexibility/stamina,Home - without equipment,4,4,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Find it too difficult to follow a routine",I have already tried,"I don't want to invest in buying any accessories at home, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Not more than Rs. 500,Weekly subscription at a price slightly higher than monthly subscription,Very Important,Very Important,Very Important,Very Important,Very Important
